repo,sha,generatedAt,files,nodes,edges,cycles,totalLOC,parseMs,parserMs,p95NodeDegree,maxInstability,hottestNode,unusedDeps,deadModules,workspaces
create-t3-app,4709861f7e67a15564c0460c13e7b4b6cfcae40d,2026-06-01T15:35:15.297Z,170,170,31,0,11031,496,481,2,1,www/src/config.ts,39,105,2
create-t3-turbo,8f945b7bb3bfb3ca8358d48b1ff0214079bc11ee,2026-06-01T15:35:16.753Z,74,74,62,1,3370,310,302,5,1,packages/ui/src/index.ts,48,22,13
hono,8e2cccc2fb3899519e43c774d0626cebaf79fe5a,2026-06-01T15:35:19.166Z,360,360,987,5,78034,934,923,13,1,src/context.ts,25,45,0
music.eduardlupu.com,4c0c7b8450a2fa3e9b0f50d2fc402f5f34607e28,2026-06-01T15:35:32.920Z,41,41,77,0,7677,1175,1012,10,1,src/lib/utils.ts,6,4,0
tailwind-nextjs-starter-blog,b45bef66b40c63b6f57c15ee8cd090682238df4c,2026-06-01T15:35:34.851Z,48,48,89,0,2689,251,248,9,1,data/siteMetadata.js,22,5,0
vercel-commerce,1df2cf6f6c935f4782eed27351fa18f276917a4d,2026-06-01T15:35:36.402Z,65,65,120,1,3896,276,270,9,1,lib/shopify/index.ts,3,5,0
zustand,04a8487aea075b13e71a327cc99b16fb68352c1a,2026-06-01T15:35:38.041Z,46,46,61,0,9470,382,378,13,1,src/vanilla.ts,22,15,0
cap,8cd264a643841f1495870e5c98bf33a148c34b00,2026-06-01T15:35:50.717Z,1190,1190,2205,8,230554,1940,1838,11,1,apps/desktop/src/utils/tauri.ts,150,109,21
chakra-ui,4a8728ea03ff7d0eca62610dda21e3c4e04d8cc6,2026-06-01T15:36:08.034Z,2677,2677,3861,1,188870,3381,3330,8,1,packages/react/src/styled-system/index.ts,85,327,14
depmod,f16e44e06db06cecd79bd9a18febcb4c12c4711c,2026-06-01T15:36:09.980Z,180,180,267,4,19072,536,529,10,1,apps/web/lib/store.ts,12,6,5
drizzle-orm,48e5406027103a9fca6eb66417187c4a8b5c6aa3,2026-06-01T15:36:15.672Z,943,943,4309,11,446968,2506,2478,29,1,drizzle-orm/src/entity.ts,65,195,9
